Iteration,Loss,Elapsed Time
743,1.779,19609.3
744,1.759,19636.8
745,1.753,19664.4
746,1.769,19688.7
747,1.74,19715.7
748,1.772,19741.9
749,1.749,19777.2
750,1.789,19803.3
751,1.787,19828.3
752,1.798,19854.8
753,1.823,19881.3
754,1.855,19907.3
755,1.848,19930.7
756,1.887,19959
757,1.913,19987.2
758,1.903,20012.8
759,1.927,20040.8
760,1.912,20066.6
761,1.92,20101.2
762,1.928,20127.7
763,1.924,20153.5
764,1.976,20178
765,1.981,20203.9
766,1.95,20227.9
767,1.919,20254.2
768,1.945,20281.7
769,1.928,20306.7
770,1.924,20332.4
771,1.931,20357.2
772,1.911,20390.1
773,1.866,20415.6
774,1.878,20441.2
775,1.846,20469.1
776,1.839,20494.9
777,1.846,20522
778,1.86,20548.2
779,1.851,20573.6
780,1.871,20600
781,1.879,20625.7
782,1.896,20650.8
783,1.902,20679
784,1.877,20711.1
785,1.85,20736.6
786,1.848,20763.8
787,1.812,20788.3
788,1.82,20814.4
789,1.788,20843.9
790,1.788,20870.7
791,1.781,20898
792,1.791,20923.9
793,1.763,20949
794,1.753,20974.9
795,1.728,21000.6
796,1.697,21033.7
797,1.687,21059.3
798,1.674,21086.5
799,1.701,21113.5
800,1.68,21138.6
801,1.702,21165
802,1.683,21193.4
803,1.668,21221
804,1.645,21248.6
805,1.678,21275
806,1.64,21300
807,1.61,21327.5
808,1.598,21358.4
809,1.635,21383.4
810,1.653,21411
811,1.637,21435.9
812,1.629,21460.6
813,1.673,21486.2
814,1.681,21511.3
815,1.669,21536.4
816,1.672,21561.3
817,1.67,21586.5
818,1.649,21613.4
819,1.654,21641.6
820,1.66,21672.8
821,1.658,21697.9
822,1.662,21723.6
823,1.725,21749.4
824,1.742,21773.6
825,1.743,21799.1
826,1.721,21826.6
827,1.741,21852.4
828,1.736,21877.2
829,1.737,21903.4
830,1.748,21929.7
831,1.797,21957.6
832,1.764,21991.5
833,1.753,22016.5
834,1.741,22043.7
835,1.76,22067.7
836,1.765,22095
837,1.749,22120.3
838,1.728,22147.6
839,1.738,22171.8
840,1.721,22197
841,1.723,22222.4
842,1.716,22246.5
843,1.69,22273.7
844,1.684,22308.2
845,1.676,22331.8
846,1.695,22357.1
847,1.69,22384.3
848,1.666,22408.8
849,1.638,22432.6
850,1.625,22458.1
851,1.624,22483.3
852,1.638,22510.4
853,1.649,22537.5
854,1.625,22561.5
855,1.604,22587.1
856,1.591,22620
857,1.589,22644.5
858,1.617,22669.9
859,1.61,22697.5
860,1.602,22720.9
861,1.613,22746.2
862,1.595,22773.3
863,1.606,22799.5
864,1.592,22825.8
865,1.591,22852.6
866,1.602,22878.4
867,1.593,22911.2
868,1.586,22938.4
869,1.579,22965
870,1.565,22988.9
871,1.57,23014.9
872,1.589,23040.3
873,1.602,23064
874,1.597,23089.2
875,1.577,23114.2
876,1.64,23139.6
877,1.644,23164.7
878,1.639,23190.6
879,1.624,23223.2
880,1.606,23247
881,1.607,23273.3
882,1.63,23298.9
883,1.632,23323.7
884,1.666,23349.8
885,1.636,23374.9
886,1.615,23399.8
887,1.65,23426.2
888,1.647,23450.3
889,1.648,23476.4
890,1.661,23505.1
891,1.676,23537.4
892,1.668,23562.9
893,1.655,23588.9
894,1.665,23614.2
895,1.678,23640.3
896,1.669,23666
897,1.686,23691.8
898,1.669,23718
899,1.674,23745.4
900,1.658,23769.5
901,1.63,23796.3
902,1.637,23824.4
903,1.68,23857.4
904,1.66,23882.6
905,1.666,23909.2
906,1.647,23934.9
907,1.639,23958.8
908,1.652,23985.1
909,1.646,24009.5
910,1.649,24035.9
911,1.668,24061.7
912,1.671,24086.5
913,1.652,24113.9
914,1.646,24143.8
915,1.633,24177.9
916,1.622,24203.8
917,1.616,24229.9
918,1.644,24255.7
919,1.623,24281.6
920,1.601,24308.6
921,1.607,24333
922,1.599,24358.5
923,1.607,24384.8
